Time,T1Mesure,T2Mesure,T3Mesure,PerturbationCourant,T3Estimation,Consigne
770.0,24.5451243823126,25.4205202637477,25.0643190522774,0.2,25.1023800083766,25
770.5,24.5451243823126,25.4205202637477,25.0643190522774,0.2,25.1022901893222,25
771.0,24.5451243823126,25.4205202637477,25.0643190522774,0.2,25.1022028588762,25
771.5,24.5451243823126,25.4205202637477,25.0643190522774,0.2,25.1021179402845,25
772.0,24.5451243823126,25.4205202637477,25.0643190522774,0.2,25.1020353593064,25
772.5,24.5451243823126,25.4205202637477,25.0643190522774,0.2,25.1019550441299,25
773.0,24.5451243823126,25.4205202637477,25.0643190522774,0.2,25.1018769252898,25
773.5,24.5451243823126,25.4205202637477,25.0643190522774,0.2,25.1018009355885,25
774.0,24.5451243823126,25.4205202637477,25.0643190522774,0.2,25.1017270100198,25
774.5,24.5451243823126,25.4205202637477,25.0643190522774,0.2,25.1016550856953,25
775.0,24.5451243823126,25.4205202637477,25.0643190522774,0.2,25.1015851017727,25
775.5,24.5451243823126,25.4205202637477,25.0643190522774,0.2,25.1015169993874,25
776.0,24.5451243823126,25.4205202637477,25.0643190522774,0.2,25.1014507215858,25
776.5,24.5451243823126,25.4205202637477,25.0643190522774,0.2,25.1013862132613,25
777.0,24.5451243823126,25.4205202637477,25.0643190522774,0.2,25.1013234210922,25
777.5,24.5451243823126,25.4205202637477,25.0643190522774,0.2,25.1012622934818,25
778.0,24.5451243823126,25.4205202637477,25.0369522159725,0.2,25.1012027805006,25
778.5,24.5451243823126,25.4205202637477,25.0369522159725,0.2,25.1011448338302,25
779.0,24.5451243823126,25.4205202637477,25.0369522159725,0.2,25.10108840671,25
779.5,24.5451243823126,25.4205202637477,25.0369522159725,0.2,25.1010334538843,25
780.0,24.5451243823126,25.4205202637477,25.0369522159725,0.2,25.1009799315522,25
780.5,24.5451243823126,25.4205202637477,25.0369522159725,0.2,25.1009277973192,25
781.0,24.5451243823126,25.4205202637477,25.0369522159725,0.2,25.1008770101501,25
781.5,24.5451243823126,25.4205202637477,25.0369522159725,0.2,25.1008275303235,25
782.0,24.5451243823126,25.4205202637477,25.0369522159725,0.2,25.1007793193879,25
782.5,24.5451243823126,25.4205202637477,25.0369522159725,0.2,25.1007323401197,25
783.0,24.5451243823126,25.4205202637477,25.0369522159725,0.2,25.100686556482,25
783.5,24.5451243823126,25.4205202637477,25.0369522159725,0.2,25.1006419335852,25
784.0,24.5451243823126,25.4205202637477,25.0369522159725,0.2,25.1005984376487,25
784.5,24.5451243823126,25.4205202637477,25.0369522159725,0.2,25.1005560359643,25
785.0,24.5451243823126,25.4205202637477,25.0369522159725,0.2,25.1005146968602,25
785.5,24.5451243823126,25.4205202637477,25.0369522159725,0.2,25.100474389667,25
786.0,24.5451243823126,25.4205202637477,25.0369522159725,0.2,25.100435084684,25
786.5,24.5451243823126,25.4205202637477,25.0369522159725,0.2,25.1003967531475,25
787.0,24.5451243823126,25.4205202637477,25.0369522159725,0.2,25.1003593671997,25
787.5,24.5451243823126,25.4205202637477,25.0369522159725,0.2,25.1003228998582,25
788.0,24.5451243823126,25.4205202637477,25.0369522159725,0.2,25.100287324988,25
788.5,24.5451243823126,25.4205202637477,25.0369522159725,0.2,25.1002526172726,25
789.0,24.5451243823126,25.4205202637477,25.0369522159725,0.2,25.1002187521876,25
789.5,24.5451243823126,25.4205202637477,25.0369522159725,0.2,25.100185705974,25
790.0,24.5451243823126,25.4205202637477,25.0369522159725,0.2,25.1001534556137,25
790.5,24.5451243823126,25.4205202637477,25.0369522159725,0.2,25.1001219788045,25
791.0,24.5451243823126,25.3930911316596,25.0369522159725,0.2,25.1000912539367,25
791.5,24.5451243823126,25.3930911316596,25.0369522159725,0.2,25.0993132676387,25
792.0,24.5451243823126,25.3930911316596,25.0369522159725,0.2,25.0985617977893,25
792.5,24.5451243823126,25.3930911316596,25.0369522159725,0.2,25.0978359344252,25
793.0,24.5451243823126,25.3930911316596,25.0369522159725,0.2,25.0971347989043,25
793.5,24.5451243823126,25.3930911316596,25.0369522159725,0.2,25.0964575428265,25
794.0,24.5451243823126,25.3930911316596,25.0369522159725,0.2,25.0958033469908,25
794.5,24.5451243823126,25.3930911316596,25.0369522159725,0.2,25.0951714203899,25
795.0,24.5451243823126,25.3930911316596,25.0369522159725,0.2,25.0945609992377,25
795.5,24.5451243823126,25.3930911316596,25.0369522159725,0.2,25.0939713460316,25
796.0,24.5451243823126,25.3930911316596,25.0369522159725,0.2,25.0934017486466,25
796.5,24.5451243823126,25.3930911316596,25.0369522159725,0.2,25.0928515194607,25
797.0,24.5451243823126,25.3930911316596,25.0369522159725,0.2,25.0923199945108,25
797.5,24.5451243823126,25.3930911316596,25.0369522159725,0.2,25.091806532677,25
798.0,24.5451243823126,25.3930911316596,25.0369522159725,0.2,25.0913105148958,25
798.5,24.5451243823126,25.3930911316596,25.0369522159725,0.2,25.0908313433999,25
799.0,24.5451243823126,25.3930911316596,25.0369522159725,0.2,25.0903684409842,25
799.5,24.5451243823126,25.3930911316596,25.0369522159725,0.2,25.089921250298,25
800.0,24.5451243823126,25.3930911316596,25.0369522159725,0.2,25.0894892331599,25
800.5,24.5451243823126,25.3930911316596,25.0369522159725,0.2,25.0890718698983,25
801.0,24.5451243823126,25.3930911316596,25.0369522159725,0.2,25.0886686587131,25
801.5,24.5451243823126,25.3930911316596,25.0369522159725,0.2,25.0882791150599,25
802.0,24.5451243823126,25.3930911316596,25.0369522159725,0.2,25.0879027710562,25
802.5,24.5451243823126,25.3930911316596,25.0369522159725,0.2,25.0875391749064,25
803.0,24.5451243823126,25.3930911316596,25.0369522159725,0.2,25.0871878903484,25
803.5,24.5451243823126,25.3930911316596,25.0369522159725,0.2,25.0868484961184,25
804.0,24.5451243823126,25.3930911316596,25.0369522159725,0.2,25.0865205854337,25
804.5,24.5451243823126,25.3930911316596,25.0369522159725,0.2,25.0862037654944,25
805.0,24.5451243823126,25.3930911316596,25.0369522159725,0.2,25.0858976570017,25
805.5,24.5451243823126,25.3930911316596,25.0369522159725,0.2,25.0856018936927,25
806.0,24.5451243823126,25.3930911316596,25.0369522159725,0.2,25.0853161218913,25
806.5,24.5451243823126,25.3930911316596,25.0369522159725,0.2,25.0850400000752,25
807.0,24.5451243823126,25.3930911316596,25.0369522159725,0.2,25.0847731984567,25
807.5,24.5451243823126,25.3930911316596,25.0369522159725,0.2,25.0845153985789,25
808.0,24.5451243823126,25.3930911316596,25.0369522159725,0.2,25.0842662929255,25
808.5,24.5451243823126,25.3930911316596,25.0369522159725,0.2,25.0840255845438,25
809.0,24.5451243823126,25.3930911316596,25.0369522159725,0.2,25.0837929866813,25
809.5,24.5451243823126,25.3930911316596,25.0369522159725,0.2,25.0835682224341,25
810.0,24.5451243823126,25.3930911316596,25.0369522159725,0.2,25.083351024408,25
810.5,24.5451243823126,25.3930911316596,25.0369522159725,0.2,25.0831411343909,25
811.0,24.5451243823126,25.3930911316596,25.0369522159725,0.2,25.082938303037,25
811.5,24.5451243823126,25.3930911316596,25.0369522159725,0.2,25.082742289561,25
812.0,24.5451243823126,25.3930911316596,25.0369522159725,0.2,25.0825528614439,25
812.5,24.5451243823126,25.3930911316596,25.0369522159725,0.2,25.0823697941481,25
813.0,24.5451243823126,25.3930911316596,25.0369522159725,0.2,25.0821928708429,25
813.5,24.5451243823126,25.3930911316596,25.0369522159725,0.2,25.0820218821388,25
