Temps (s),T1 (�C),T2 (�C),T3 (�C),T4 (�C)
Temps (s), T1 (�C), T2 (�C), T3 (�C), T4 (�C)
461,41.65,37.78,35.64,23.24
462,41.65,37.68,35.64,23.24
463,41.65,37.68,35.64,23.33
464,41.76,37.78,35.64,23.33
465,41.76,37.68,35.54,23.33
466,41.87,37.78,35.54,23.33
467,41.76,37.78,35.64,23.33
468,41.87,37.78,35.64,23.24
469,41.76,37.78,35.64,23.24
470,41.76,37.78,35.54,23.24
471,41.87,37.78,35.64,23.33
472,41.87,37.78,35.64,23.33
473,41.87,37.78,35.64,23.33
474,41.87,37.89,35.64,23.24
475,41.87,37.89,35.64,23.33
476,41.98,37.89,35.64,23.33
477,41.98,37.89,35.64,23.42
478,41.87,37.89,35.64,23.24
479,41.98,37.99,35.64,23.24
480,41.98,37.89,35.64,23.33
481,41.98,37.89,35.64,23.33
482,41.98,37.89,35.64,23.33
483,41.98,37.89,35.64,23.33
484,41.98,37.89,35.64,23.33
485,42.09,37.99,35.64,23.33
486,41.98,37.89,35.64,23.33
487,41.98,37.89,35.64,23.33
488,41.98,37.89,35.64,23.33
489,42.09,37.89,35.64,23.33
490,41.98,37.89,35.64,23.24
491,41.98,37.89,35.54,23.33
492,41.98,37.89,35.54,23.33
493,41.98,37.89,35.54,23.33
494,42.09,37.89,35.54,23.33
495,41.98,37.89,35.54,23.33
496,41.98,37.89,35.54,23.33
497,41.98,37.89,35.54,23.33
498,41.98,37.89,35.54,23.33
499,41.98,37.89,35.54,23.33
500,42.09,37.89,35.54,23.33
501,42.09,37.89,35.54,23.42
502,41.98,37.89,35.54,23.33
503,41.98,37.89,35.54,23.33
504,41.98,37.89,35.54,23.33
505,41.98,37.89,35.54,23.33
506,42.09,37.89,35.54,23.33
507,41.98,37.89,35.54,23.33
508,42.09,37.89,35.54,23.33
509,42.09,37.89,35.54,23.33
510,42.09,37.99,35.54,23.33
511,42.09,37.99,35.54,23.33
512,41.98,37.99,35.54,23.33
513,42.09,37.99,35.54,23.33
514,42.09,37.99,35.54,23.33
515,42.09,37.99,35.64,23.33
516,42.09,37.99,35.64,23.33
517,42.09,37.99,35.64,23.42
518,42.09,37.99,35.74,23.42
519,42.21,37.99,35.74,23.33
520,42.09,37.99,35.74,23.42
521,42.09,37.99,35.74,23.42
522,42.21,38.10,35.74,23.33
523,42.09,38.10,35.74,23.33
524,42.21,38.10,35.84,23.42
525,42.21,38.10,35.74,23.33
526,42.21,38.10,35.84,23.42
527,42.21,38.10,35.84,23.42
528,42.21,38.10,35.84,23.42
529,42.21,38.10,35.84,23.33
530,42.21,38.20,35.84,23.42
531,42.21,38.10,35.84,23.33
532,42.21,38.10,35.94,23.33
533,42.21,38.10,35.94,23.42
534,42.21,38.20,35.94,23.33
535,42.21,38.10,35.84,23.42
536,42.21,38.20,35.84,23.42
537,42.21,38.10,35.94,23.33
538,42.21,38.20,35.94,23.42
539,42.21,38.20,35.94,23.42
540,42.21,38.20,35.94,23.42
541,42.21,38.20,35.94,23.42
542,42.21,38.20,35.94,23.42
543,42.32,38.20,35.94,23.42
544,42.32,38.20,35.94,23.33
545,42.21,38.20,35.94,23.42
546,42.21,38.20,35.94,23.33
547,42.32,38.20,35.94,23.33
548,42.21,38.20,35.94,23.33
549,42.32,38.20,35.94,23.42
550,42.21,38.20,35.94,23.42
551,42.21,38.20,35.94,23.33
552,42.21,38.20,35.94,23.42
553,42.21,38.31,36.04,23.42
554,42.21,38.31,36.04,23.33
555,42.21,38.20,36.04,23.42
556,42.21,38.20,36.04,23.42
557,42.21,38.20,36.04,23.42
558,42.32,38.20,35.94,23.42
559,42.21,38.20,35.94,23.42
560,42.21,38.20,35.94,23.42
561,42.21,38.20,36.04,23.42
562,42.21,38.20,36.04,23.42
563,42.21,38.31,36.04,23.42
564,42.21,38.20,36.04,23.42
565,42.32,38.20,36.04,23.42
566,42.21,38.31,36.04,23.42
567,42.32,38.31,36.04,23.33
568,42.21,38.20,36.04,23.33
569,42.32,38.31,36.04,23.42
570,42.32,38.31,36.04,23.42
571,42.32,38.31,36.04,23.42
572,42.32,38.31,35.94,23.42
573,42.32,38.31,35.94,23.42
574,42.32,38.31,35.94,23.42
575,42.32,38.31,35.94,23.42
576,42.32,38.31,35.94,23.42
577,42.32,38.31,36.04,23.42
578,42.32,38.31,35.94,23.42
579,42.32,38.31,36.04,23.42
580,42.32,38.31,36.04,23.42
581,42.32,38.31,36.04,23.42
582,42.32,38.31,36.04,23.42
583,42.32,38.31,36.04,23.42
584,42.32,38.31,36.04,23.42
585,42.32,38.31,36.04,23.42
586,42.32,38.31,36.04,23.42
587,42.32,38.31,36.04,23.42
588,42.32,38.31,36.14,23.33
589,42.43,38.41,36.04,23.42
590,42.43,38.41,36.04,23.42
591,42.32,38.31,36.04,23.42
592,42.32,38.31,36.04,23.42
593,42.32,38.31,36.04,23.33
594,42.32,38.31,36.14,23.42
595,42.32,38.41,36.14,23.42
596,42.32,38.31,36.14,23.42
597,42.32,38.31,36.14,23.42
598,42.32,38.31,36.14,23.42
599,42.21,38.31,36.24,23.42
600,42.32,38.31,36.14,23.33
601,42.32,38.31,36.14,23.42
602,42.32,38.31,36.14,23.42
603,42.32,38.31,36.14,23.42
604,42.32,38.31,36.14,23.42
605,42.32,38.31,36.14,23.42
606,42.32,38.31,36.14,23.42
608,42.32,38.31,36.04,23.42
609,42.32,38.31,36.04,23.42
610,42.43,38.41,36.04,23.42
611,42.32,38.31,36.14,23.42
612,42.21,38.31,36.14,23.33
613,42.32,38.31,36.14,23.42
614,42.32,38.41,36.14,23.42
615,42.32,38.31,36.14,23.42
616,42.32,38.31,36.14,23.42
617,42.32,38.41,36.14,23.42
618,42.32,38.31,36.14,23.42
619,43.46,39.15,36.65,23.96
620,42.32,38.31,36.14,23.42
621,42.32,38.31,36.24,23.42
622,42.32,38.41,36.14,23.42
623,42.21,38.31,36.14,23.42
624,42.21,38.31,36.14,23.42
625,42.32,38.31,36.24,23.42
626,42.21,38.41,36.14,23.42
627,42.21,38.31,36.24,23.42
628,42.21,38.31,36.24,23.42
629,42.32,38.41,36.24,23.42
630,42.21,38.31,36.14,23.51
631,42.32,38.31,36.14,23.42
632,42.21,38.31,36.14,23.42
633,42.32,38.31,36.24,23.42
634,42.32,38.31,36.24,23.42
635,42.32,38.31,36.14,23.42
636,42.32,38.31,36.14,23.42
637,42.32,38.41,36.14,23.42
638,42.32,38.31,36.14,23.42
639,42.32,38.41,36.14,23.42
640,42.32,38.31,36.24,23.42
641,42.32,38.41,36.24,23.42
642,42.32,38.41,36.24,23.42
643,42.32,38.41,36.24,23.42
644,42.32,38.41,36.24,23.42
645,42.32,38.41,36.24,23.42
646,42.32,38.41,36.24,23.42
647,42.43,38.41,36.24,23.42
648,42.43,38.52,36.14,23.42
649,42.43,38.41,36.14,23.42
650,42.43,38.41,36.14,23.42
651,42.43,38.41,36.14,23.42
652,42.32,38.41,36.14,23.51
653,42.32,38.41,36.14,23.42
654,42.32,38.41,36.14,23.42
655,42.43,38.52,36.14,23.42
656,42.43,38.41,36.14,23.42
657,42.43,38.41,36.14,23.42
658,42.43,38.41,36.14,23.51
659,42.43,38.52,36.14,23.42
660,42.43,38.41,36.24,23.42
661,42.43,38.41,36.14,23.42
662,42.43,38.41,36.14,23.51
663,42.43,38.41,36.24,23.42
664,42.43,38.41,36.14,23.42
665,42.43,38.41,36.14,23.42
666,42.43,38.41,36.14,23.42
667,42.43,38.41,36.14,23.42
668,42.32,38.41,36.14,23.42
669,42.43,38.41,36.14,23.42
670,42.43,38.41,36.14,23.42
671,42.32,38.41,36.14,23.42
672,42.43,38.41,36.14,23.42
673,42.32,38.41,36.14,23.42
674,42.43,38.41,36.14,23.51
675,42.32,38.41,36.14,23.51
676,42.43,38.41,36.14,23.42
677,42.32,38.41,36.14,23.51
