Temps (s),T1 (°C),T2 (°C),T3 (°C),T4 (°C)
Temps (s), T1 (°C), T2 (°C), T3 (°C), T4 (°C)
718,10.76,14.13,15.12,25.13
719,10.76,14.22,15.12,25.13
720,10.67,14.22,15.03,25.13
721,10.67,14.22,15.03,25.13
722,10.67,14.22,15.03,25.13
723,10.67,14.13,15.03,25.22
724,10.67,14.22,15.03,25.13
725,10.67,14.13,15.03,25.13
726,10.67,14.22,15.03,25.13
727,10.67,14.22,15.03,25.13
728,10.57,14.13,15.03,25.13
729,10.67,14.13,15.03,25.13
730,10.67,14.13,15.03,25.13
731,10.67,14.13,15.03,25.13
732,10.67,14.22,15.03,25.13
733,10.67,14.13,15.03,25.13
734,10.67,14.13,15.03,25.22
735,10.57,14.13,15.03,25.13
736,10.67,14.13,15.03,25.13
737,10.57,14.13,15.03,25.13
738,10.57,14.13,15.03,25.13
739,10.67,14.13,15.03,25.13
740,10.57,14.13,15.03,25.13
741,10.57,14.13,14.94,25.04
742,10.57,14.13,15.03,25.04
743,10.48,14.04,14.94,25.13
744,10.57,14.13,14.94,25.13
745,10.57,14.04,14.94,25.13
746,10.48,14.13,14.94,25.13
747,10.48,14.04,15.03,25.04
748,10.48,14.04,14.94,25.13
749,10.57,14.04,14.94,25.04
750,10.57,14.04,14.94,25.04
751,10.57,14.04,14.94,25.04
752,10.57,14.13,14.94,25.04
753,10.57,14.04,14.94,25.04
754,10.57,14.04,14.94,25.04
755,10.57,14.13,14.94,25.04
756,10.57,14.04,14.94,25.04
757,10.57,14.13,14.94,25.04
758,10.57,14.13,14.94,25.04
759,10.48,14.13,14.94,25.04
760,10.48,14.13,15.03,25.13
