Time,T1Mesure,T2Mesure,T3Mesure,PWMDutycycle,TECEntr_e_SortieAmpli,R_gulateurSortie,PerturbationCourant,T3Estimation,AmpliEntr_e,R_gulateurEntr_e,Consigne,T1Perturbation,T2Perturbation,T3Perturbation,PWMSortie,TECSortie,T3Vmesure,T2Vmesure,T1Vmesure,T1R_sistance,T2R_sistance,T3R_sistance
1519.15,17.9250763906111,19.5879477359044,19.9904792989936,104,-0.148475316650491,-0.482034751942649,0,20.1626707780178,2.03601463546721,-0.0645478726052957,20,0,0,0,5,-0.468647489475611,2.7103365870747,2.78563108598774,3.08734344128873,13668.3689857548,12686.5185509027,12454.0618486647
1519.2,17.9250763906111,19.5879477359044,19.9904792989936,104,-0.14646023551915,-0.482034751942649,0,20.1626707780178,2.04231176400266,-0.0645478726052957,20,0,0,0,0,-0.462287087392644,2.71654857156743,2.79184870239458,3.09349398792104,13668.1183465379,12686.4974809606,12454.0239990916
1519.25,17.9250763906111,19.5879477359044,19.9904792989936,104,-0.148491296801316,-0.482034751942649,0,20.1626707780178,2.03596469749589,-0.0645478726052957,20,0,0,0,5,-0.468697929223674,2.71779583583991,2.79310159682964,3.0946798348468,13667.8678027742,12686.4764244308,12453.9861680985
1519.3,17.9250763906111,19.5879477359044,19.9904792989936,104,-0.146439529761482,-0.482034751942649,0,20.1626707780178,2.04237646949537,-0.0645478726052957,20,0,0,0,0,-0.462221731739142,2.72386989840311,2.79918128779123,3.10069251532896,13667.6174045254,12686.4553812616,12453.9483556735
1519.35,17.9250763906111,19.5879477359044,19.9904792989936,104,-0.14848855156644,-0.482034751942649,0,20.1626707780178,2.03597327635487,-0.0645478726052957,20,0,0,0,0,-0.468689264164311,2.70690918712981,2.78222620312868,3.08367045056154,13667.36712909,12686.4343513616,12453.9105617986
1519.4,17.9250763906111,19.5879477359044,19.9904792989936,104,-0.146432547476161,-0.482034751942649,0,20.1626707780178,2.042398289137,-0.0645478726052957,20,0,0,0,0,-0.462199692853755,2.71395923138368,2.78928187219342,3.09065916845819,13667.1169715248,12686.4133346807,12453.8727864619
1519.45,17.9250763906111,19.5879477359044,19.9904792989936,104,-0.148466507268922,-0.482034751942649,0,20.1626707780178,2.03604216478462,-0.0645478726052957,20,0,0,0,0,-0.468619683543626,2.71689551949423,2.7922237832921,3.09353416687004,13666.8669641256,12686.3923311295,12453.8350296457
1519.5,17.9250763906111,19.5879477359044,20.0173218845233,104,-0.146440102039133,-0.482034751942649,0,20.1630387597357,2.04237468112771,-0.0645478726052957,20,0,0,0,0,-0.462223538076319,2.71930944523384,2.79464333018526,3.09588682195932,13666.6170470906,12686.3713406589,12453.7972913378
1519.55,17.9250763906111,19.5879477359044,20.0173218845233,104,-0.148427175237351,-0.482034751942649,0,20.1630387597357,2.03616507738328,-0.0645478726052957,20,0,0,0,0,-0.468495535919176,2.70823031155608,2.7835698158043,3.08474646223288,13666.3673071362,12686.350363182,12453.7595715208
1519.6,17.9250763906111,19.5879477359044,20.0173218845233,104,-0.146462916505001,-0.482034751942649,0,20.1630387597357,2.04230338592187,-0.0645478726052957,20,0,0,0,0,-0.462295549656387,2.70833516839375,2.78368029007045,3.08479010421311,13666.1176308279,12686.3293986502,12453.7218701823
