temps,T1,T2,T3
396,26.77359188,26.83670455,26.16992384
396.5,26.77518877,26.83865705,26.17189845
397,26.77677938,26.84060278,26.17386622
397.5,26.77836375,26.84254176,26.17582718
398,26.77994188,26.84447402,26.17778135
398.5,26.78151382,26.84639959,26.17972874
399,26.78307958,26.84831848,26.18166939
399.5,26.78463918,26.85023071,26.18360332
400,26.78619266,26.85213633,26.18553056
400.5,26.78774004,26.85403533,26.18745111
401,26.78928133,26.85592775,26.18936502
401.5,26.79081657,26.85781362,26.19127229
402,26.79234577,26.85969295,26.19317296
402.5,26.79386897,26.86156576,26.19506705
403,26.79538618,26.86343208,26.19695458
403.5,26.79689744,26.86529193,26.19883557
404,26.79840275,26.86714534,26.20071004
404.5,26.79990215,26.86899232,26.20257802
405,26.80139565,26.8708329,26.20443954
405.5,26.80288329,26.8726671,26.2062946
406,26.80436508,26.87449494,26.20814324
406.5,26.80584105,26.87631645,26.20998548
407,26.80731122,26.87813164,26.21182133
407.5,26.80877562,26.87994054,26.21365083
408,26.81023426,26.88174317,26.21547399
408.5,26.81168717,26.88353955,26.21729084
409,26.81313437,26.88532971,26.21910139
409.5,26.81457588,26.88711366,26.22090567
410,26.81601173,26.88889143,26.22270371
410.5,26.81744194,26.89066303,26.22449551
411,26.81886652,26.89242849,26.22628111
411.5,26.82028551,26.89418784,26.22806052
412,26.82169893,26.89594109,26.22983378
412.5,26.82310679,26.89768826,26.23160089
413,26.82450912,26.89942937,26.23336187
413.5,26.82590594,26.90116445,26.23511676
414,26.82729727,26.90289351,26.23686557
414.5,26.82868313,26.90461658,26.23860833
415,26.83006355,26.90633368,26.24034504
415.5,26.83143854,26.90804483,26.24207575
416,26.83280814,26.90975004,26.24380045
416.5,26.83417235,26.91144935,26.24551919
417,26.8355312,26.91314276,26.24723197
417.5,26.83688471,26.91483031,26.24893882
418,26.8382329,26.916512,26.25063975
418.5,26.83957579,26.91818787,26.2523348
419,26.84091341,26.91985793,26.25402397
419.5,26.84224577,26.9215222,26.25570729
420,26.8435729,26.9231807,26.25738479
420.5,26.84489481,26.92483345,26.25905647
421,26.84621153,26.92648047,26.26072236
421.5,26.84752307,26.92812179,26.26238248
422,26.84882946,26.92975741,26.26403685
422.5,26.85013072,26.93138737,26.26568549
423,26.85142687,26.93301167,26.26732843
423.5,26.85271792,26.93463035,26.26896567
424,26.8540039,26.93624341,26.27059724
424.5,26.85528482,26.93785089,26.27222315
425,26.85656072,26.93945279,26.27384344
425.5,26.8578316,26.94104914,26.27545811
426,26.85909748,26.94263995,26.2770672
426.5,26.86035839,26.94422525,26.2786707
427,26.86161435,26.94580506,26.28026866
427.5,26.86286538,26.94737939,26.28186108
428,26.86411148,26.94894827,26.28344798
428.5,26.86535269,26.9505117,26.28502939
429,26.86658903,26.95206972,26.28660532
429.5,26.8678205,26.95362234,26.28817579
430,26.86904714,26.95516957,26.28974082
430.5,26.87026896,26.95671144,26.29130043
431,26.87148597,26.95824797,26.29285464
431.5,26.87269821,26.95977917,26.29440346
432,26.87390568,26.96130506,26.29594692
432.5,26.8751084,26.96282567,26.29748504
433,26.87630641,26.964341,26.29901782
433.5,26.8774997,26.96585108,26.3005453
434,26.8786883,26.96735593,26.30206749
434.5,26.87987224,26.96885556,26.3035844
435,26.88105152,26.97035,26.30509606
435.5,26.88222617,26.97183925,26.30660249
436,26.8833962,26.97332334,26.30810369
436.5,26.88456164,26.97480229,26.3095997
437,26.88572249,26.97627611,26.31109052
437.5,26.88687879,26.97774482,26.31257618
438,26.88803054,26.97920844,26.3140567
438.5,26.88917777,26.98066699,26.31553209
439,26.89032049,26.98212048,26.31700236
439.5,26.89145871,26.98356894,26.31846755
440,26.89259247,26.98501237,26.31992765
440.5,26.89372177,26.9864508,26.32138271
441,26.89484664,26.98788425,26.32283272
441.5,26.89596708,26.98931272,26.3242777
442,26.89708312,26.99073625,26.32571769
442.5,26.89819478,26.99215484,26.32715268
443,26.89930207,26.99356851,26.32858271
443.5,26.900405,26.99497728,26.33000778
444,26.90150361,26.99638117,26.33142792
444.5,26.90259789,26.9977802,26.33284313
445,26.90368788,26.99917437,26.33425345
445.5,26.90477359,27.00056372,26.33565888
446,26.90585502,27.00194824,26.33705944
446.5,26.90693221,27.00332797,26.33845515
447,26.90800517,27.00470291,26.33984603
447.5,26.90907391,27.00607309,26.34123209
448,26.91013845,27.00743852,26.34261334
448.5,26.91119881,27.00879922,26.34398982
449,26.912255,27.0101552,26.34536152
449.5,26.91330704,27.01150648,26.34672848
450,26.91435495,27.01285308,26.3480907
450.5,26.91539874,27.01419501,26.3494482
451,26.91643843,27.01553228,26.350801
451.5,26.91747404,27.01686493,26.35214911
452,26.91850557,27.01819295,26.35349255
452.5,26.91953305,27.01951637,26.35483134
453,26.9205565,27.0208352,26.3561655
453.5,26.92157592,27.02214946,26.35749503
454,26.92259134,27.02345917,26.35881995
454.5,26.92360276,27.02476434,26.36014029
455,26.92461022,27.02606498,26.36145606
455.5,26.92561371,27.02736111,26.36276726
456,26.92661326,27.02865275,26.36407393
456.5,26.92760889,27.02993992,26.36537606
457,26.9286006,27.03122262,26.36667369
457.5,26.92958842,27.03250088,26.36796683
458,26.93057235,27.0337747,26.36925548
458.5,26.93155242,27.03504411,26.37053967
459,26.93252864,27.03630912,26.37181941
459.5,26.93350102,27.03756975,26.37309472
460,26.93446958,27.03882601,26.37436562
460.5,26.93543433,27.04007791,26.37563211
461,26.9363953,27.04132547,26.37689421
461.5,26.93735249,27.04256871,26.37815194
462,26.93830591,27.04380764,26.37940532
462.5,26.93925559,27.04504227,26.38065435
463,26.94020154,27.04627263,26.38189906
463.5,26.94114378,27.04749872,26.38313946
464,26.94208231,27.04872056,26.38437555
464.5,26.94301715,27.04993816,26.38560737
465,26.94394832,27.05115155,26.38683492
465.5,26.94487583,27.05236073,26.38805822
466,26.94579969,27.05356571,26.38927729
466.5,26.94671993,27.05476652,26.39049212
467,26.94763655,27.05596317,26.39170276
467.5,26.94854957,27.05715567,26.39290919
468,26.949459,27.05834404,26.39411145
468.5,26.95036486,27.05952829,26.39530955
469,26.95126715,27.06070843,26.39650349
469.5,26.95216591,27.06188448,26.3976933
470,26.95306113,27.06305646,26.39887899
470.5,26.95395283,27.06422438,26.40006057
471,26.95484103,27.06538824,26.40123806
471.5,26.95572574,27.06654807,26.40241147
