Temps (s),T1 (°C),T2 (°C),T3 (°C),T4 (°C)
Temps (s), T1 (°C), T2 (°C), T3 (°C), T4 (°C)
682,7.09,11.49,12.77,26.86
683,7.09,11.49,12.68,26.77
684,6.99,11.49,12.77,26.77
685,6.99,11.49,12.77,26.77
686,6.99,11.49,12.77,26.77
687,6.99,11.49,12.77,26.77
688,6.99,11.49,12.68,26.77
689,6.99,11.49,12.77,26.77
690,6.99,11.40,12.68,26.77
691,6.99,11.49,12.77,26.77
692,6.99,11.49,12.68,26.77
693,6.99,11.40,12.68,26.77
694,6.99,11.49,12.77,26.77
695,6.99,11.49,12.77,26.77
696,6.99,11.49,12.68,26.77
697,6.99,11.49,12.68,26.77
698,6.99,11.40,12.77,26.77
699,6.99,11.49,12.77,26.68
700,6.99,11.49,12.68,26.68
701,6.90,11.49,12.68,26.77
702,6.90,11.49,12.68,26.77
703,6.90,11.49,12.77,26.68
704,6.90,11.40,12.68,26.68
705,6.90,11.49,12.77,26.68
706,6.90,11.49,12.77,26.68
707,6.90,11.49,12.77,26.68
708,6.90,11.40,12.77,26.68
709,6.90,11.40,12.77,26.77
710,6.90,11.40,12.77,26.68
711,6.90,11.40,12.77,26.68
712,6.90,11.40,12.77,26.68
713,6.90,11.31,12.68,26.77
714,6.90,11.40,12.68,26.68
715,6.90,11.40,12.68,26.68
716,6.80,11.40,12.68,26.68
717,6.90,11.40,12.68,26.68
718,6.80,11.40,12.68,26.68
719,6.90,11.40,12.77,26.68
720,6.90,11.31,12.68,26.68
721,6.80,11.31,12.68,26.68
722,7.28,11.68,13.05,26.95
723,6.80,11.40,12.77,26.68
724,6.80,11.31,12.77,26.68
725,6.70,11.40,12.77,26.68
726,6.80,11.40,12.77,26.68
727,6.90,11.31,12.68,26.68
728,6.90,11.31,12.68,26.68
729,6.90,11.31,12.68,26.68
730,6.90,11.31,12.68,26.68
731,6.90,11.31,12.68,26.68
732,6.90,11.31,12.68,26.68
733,6.90,11.31,12.68,26.77
734,6.90,11.31,12.68,26.68
735,6.90,11.31,12.68,26.68
736,6.90,11.31,12.59,26.68
737,6.99,11.31,12.59,26.68
738,6.90,11.31,12.59,26.68
739,6.90,11.31,12.59,26.77
740,6.80,11.31,12.59,26.68
741,6.80,11.31,12.59,26.77
742,6.80,11.31,12.59,26.68
743,6.80,11.31,12.59,26.68
744,6.80,11.40,12.59,26.68
745,6.80,11.31,12.59,26.68
746,6.80,11.40,12.59,26.68
747,6.80,11.31,12.59,26.77
748,6.70,11.31,12.59,26.68
749,6.80,11.31,12.59,26.68
750,6.80,11.31,12.59,26.68
751,6.90,11.31,12.59,26.68
752,6.80,11.31,12.59,26.68
753,6.80,11.31,12.59,26.68
754,6.80,11.31,12.59,26.68
755,6.80,11.31,12.59,26.68
756,6.80,11.31,12.59,26.68
757,6.80,11.31,12.59,26.68
758,6.80,11.31,12.59,26.68
759,6.80,11.31,12.50,26.59
760,6.70,11.31,12.50,26.59
