Temps (s),T1 (�C),T2 (�C),T3 (�C),T4 (�C)
Temps (s), T1 (�C), T2 (�C), T3 (�C), T4 (�C)
693,31.91,30.48,29.17,23.33
694,32.00,30.48,29.26,23.33
695,31.91,30.39,29.17,23.33
696,32.00,30.39,29.26,23.33
697,32.00,30.48,29.26,23.33
698,32.00,30.48,29.26,23.33
699,31.91,30.48,29.26,23.33
700,32.00,30.48,29.26,23.33
701,32.00,30.48,29.26,23.33
702,32.00,30.48,29.26,23.33
703,32.00,30.48,29.26,23.33
704,32.00,30.48,29.17,23.33
705,32.00,30.48,29.26,23.33
706,32.00,30.48,29.26,23.33
707,32.00,30.48,29.26,23.33
708,32.00,30.48,29.26,23.33
709,32.00,30.48,29.26,23.33
710,32.00,30.48,29.26,23.33
711,32.00,30.48,29.26,23.33
712,32.00,30.48,29.26,23.33
713,32.00,30.48,29.26,23.33
714,32.00,30.48,29.26,23.33
715,32.00,30.48,29.26,23.42
716,32.00,30.48,29.26,23.33
717,32.00,30.48,29.26,23.33
718,32.00,30.48,29.26,23.33
719,32.00,30.48,29.26,23.33
720,32.00,30.48,29.26,23.42
721,32.00,30.48,29.26,23.42
722,32.00,30.48,29.26,23.33
723,32.00,30.48,29.26,23.33
724,32.00,30.48,29.26,23.33
725,32.00,30.48,29.26,23.42
726,32.00,30.48,29.26,23.33
727,32.00,30.48,29.26,23.33
728,32.00,30.48,29.26,23.33
729,32.00,30.48,29.26,23.33
730,32.00,30.48,29.26,23.33
731,32.00,30.48,29.26,23.33
732,32.00,30.48,29.26,23.42
733,32.00,30.48,29.35,23.33
734,31.91,30.48,29.26,23.33
735,32.10,30.48,29.26,23.42
736,31.91,30.57,29.26,23.33
737,32.00,30.48,29.26,23.42
738,32.00,30.48,29.26,23.33
739,32.00,30.48,29.26,23.33
740,32.00,30.48,29.26,23.33
741,32.00,30.48,29.35,23.42
742,32.00,30.48,29.35,23.33
743,31.91,30.57,29.35,23.33
744,32.00,30.48,29.35,23.33
745,32.00,30.48,29.26,23.33
746,32.00,30.48,29.26,23.33
747,32.00,30.57,29.35,23.33
748,32.00,30.48,29.35,23.33
749,32.00,30.48,29.35,23.33
750,32.00,30.48,29.35,23.33
751,32.00,30.57,29.35,23.42
752,32.00,30.48,29.26,23.42
753,32.00,30.48,29.35,23.33
754,32.10,30.48,29.35,23.33
755,32.00,30.57,29.35,23.42
756,32.00,30.48,29.35,23.42
757,32.00,30.57,29.35,23.33
758,32.00,30.57,29.35,23.42
759,32.00,30.48,29.35,23.42
